Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV),,
11.298358,-0.000162966,885.7578,22.4195538,0.0409935,24.39411128
11.3393515,-0.000340752,903.6426,20.430693,0.0450742,22.18564055
11.3844257,1.48E-05,920.5338,16.4529714,0.0205427,48.67909291
11.4049684,-0.000340752,888.7386,18.4418322,0.0242083,41.3081463
11.4291767,-0.000162966,900.6618,20.430693,0.0455569,21.95057171
11.4747336,-0.000162966,923.5146,20.430693,0.0446431,22.39987814
11.5193767,1.48E-05,892.713,16.4529714,0.0202384,49.41102056
11.5396151,-0.000340752,894.7002,20.430693,0.0261479,38.24398904
11.565763,-0.000162966,924.5082,18.4418322,0.043473,23.00278334
11.609236,-0.000162966,895.6938,20.430693,0.0450176,22.21353426
11.6542536,-0.000162966,892.713,20.430693,0.0451774,22.13496129
11.699431,-0.000162966,922.521,20.430693,0.0175592,56.95020274
11.7169902,-0.000518538,902.649,20.430693,0.0274833,36.38573241
11.7444735,-0.000162966,892.713,20.430693,0.0450036,22.22044458
11.7894771,-0.000340752,920.5338,18.4418322,0.0196709,50.83651496
11.809148,-0.000162966,903.6426,20.430693,0.0300687,33.25717437
11.8392167,-0.000162966,887.745,20.430693,0.0401043,24.93498202
11.879321,-0.000162966,916.5594,20.430693,0.0449749,22.23462422
11.9242959,-0.000340752,905.6298,18.4418322,0.0204891,48.8064385
11.944785,-0.000518538,883.7706,20.430693,0.0265443,37.67287144
11.9713293,-0.000340752,918.5466,18.4418322,0.0429074,23.30600316
12.0142367,-0.000162966,914.5722,20.430693,0.0452036,22.12213186
12.0594403,-0.000340752,881.7834,18.4418322,0.0201789,49.55671522
12.0796192,-0.000340752,912.585,18.4418322,0.0272758,36.66253601
12.106895,1.48E-05,921.5274,16.4529714,0.0422773,23.65335533
12.1491723,-0.000340752,34.2426,20.430693,0.04501,22.21728505
12.1941823,-0.000162966,262.7706,14.4641106,0.0206989,48.31174607
12.2148812,1.48E-05,328.3482,12.4752498,0.0296851,33.68693383
12.2445663,-0.000340752,348.2202,16.4529714,0.0397533,25.15514438
12.2843196,1.48E-05,375.0474,18.4418322,0.0452495,22.0996917
12.3295691,0.000192606,382.0026,12.4752498,0.002534,394.632996
12.3321031,0.000192606,381.009,14.4641106,0.0424339,23.56606392
12.374537,-0.000162966,397.9002,16.4529714,0.0449498,22.24704003
12.4194868,1.48E-05,402.8682,14.4641106,0.0451977,22.12501962
12.4646845,1.48E-05,396.9066,12.4752498,0.017271,57.90052703
12.4819555,1.48E-05,408.8298,16.4529714,0.0294867,33.91359492
12.5114422,1.48E-05,415.785,14.4641106,0.0427253,23.40533594
12.5541675,-0.000518538,408.8298,16.4529714,0.045337,22.05703951
12.5995045,1.48E-05,419.7594,14.4641106,0.0198749,50.31471857
12.6193794,1.48E-05,425.721,18.4418322,0.027948,35.78073565
12.6473274,-0.000518538,417.7722,14.4641106,0.0420858,23.7609835
12.6894132,-0.000340752,427.7082,16.4529714,0.0450477,22.19869161
12.7344609,1.48E-05,435.657,14.4641106,0.021003,47.61224593
12.7554639,1.48E-05,426.7146,14.4641106,0.0292936,34.13714941
12.7847575,-0.000518538,432.6762,12.4752498,0.0395907,25.25845716
12.8243482,0.000192606,442.6122,14.4641106,0.0210027,47.61292602
12.8453509,0.000192606,431.6826,12.4752498,0.0271205,36.87247648
12.8724714,1.48E-05,436.6506,16.4529714,0.0420093,23.80425288
12.9144807,-0.000162966,447.5802,14.4641106,0.0447058,22.36846225
12.9591865,-0.000162966,439.6314,12.4752498,0.0206777,48.3612781
12.9798642,1.48E-05,439.6314,14.4641106,0.0274018,36.49395298
13.007266,-0.000162966,450.561,14.4641106,0.0423127,23.63356628
13.0495787,-0.000162966,446.5866,12.4752498,0.0448525,22.29530125
13.0944312,1.48E-05,443.6058,14.4641106,0.0198421,50.3978914
13.1142733,-0.000340752,456.5226,12.4752498,0.0273321,36.58701669
